"","long","lat","order","hole","piece","id","group","province","institution","participants","teacher_facilitator","classes","classroom","kindergarten","playgroup","daycare","sps","all_2017_2018","all_2018_2019","all_2019_2020","all_2020_2021","stud_tk","stud_kb","stud_tpa","stud_sps","stud_2017_2018","stud_2018_2019","stud_2019_2020","stud_2020_2021","teacher_tk","teacher_kb","teacher_tpa","teacher_sps","teacher_2017_2018","teacher_2018_2019","teacher_2019_2020","teacher_2020_2021","tk_classsize","tk_stu_teacher","kb_classsize","tpa_classsize","sps_classsize","kb_stu_teach","tpa_stu_teach","sps_stu_teach"
"58",96.3446507,2.34124280000003,58,FALSE,"2","0","0.2","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"59",96.0753054,2.56979360000003,59,FALSE,"2","0","0.2","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"60",95.7957152000001,2.63041200000004,60,FALSE,"2","0","0.2","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"61",95.6921360000001,2.77261760000005,61,FALSE,"2","0","0.2","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"62",95.7879135000001,2.82633230000005,62,FALSE,"2","0","0.2","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"63",95.8051433,2.92983200000003,63,FALSE,"2","0","0.2","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"64",97.1685570000001,2.23569400000002,64,FALSE,"3","0","0.3","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"65",97.3002410000001,2.22753100000006,65,FALSE,"3","0","0.3","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"66",97.34015,2.03431800000004,66,FALSE,"3","0","0.3","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"67",97.113232,2.21495000000004,67,FALSE,"3","0","0.3","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"68",97.1685570000001,2.23569400000002,68,FALSE,"3","0","0.3","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"69",95.2214164000001,5.90599790000005,69,FALSE,"4","0","0.4","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"70",95.2925890000001,5.83874300000002,70,FALSE,"4","0","0.4","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"71",95.3333906000001,5.89789070000006,71,FALSE,"4","0","0.4","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"72",95.3749849000001,5.80517010000005,72,FALSE,"4","0","0.4","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
"73",95.2846457,5.78056130000004,73,FALSE,"4","0","0.4","Aceh",4470,152366,18744,11256,9501,2525,1728,92,125,4928,5001,5066,447,98427,47956,2201,3782,273763,137754,154564,152366,12229,5769,315,431,16972,19136,19329,18744,14,8,13,12,13,8,7,9
